RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-2657818	-3667847	20.016667	103.716667	200100	1034300	48QUH6576213840	NF48-14	P	PPL		LA	03				V				BANHOUEIPHOUK	Ban Houeï Phouk	Ban Houei Phouk	BANHOUEIPHOUK	Ban Houeï Phouk	Ban Houei Phouk		1994-01-25
5	-2668538	-3684614	20.256111	102.253056	201522	1021511	48QTH1303942206	NF48-13	T	MT		LA	17				N			Phou	PHOUSOUANG	Phou Souang	Phou Souang	SOUANG PHOU	Souang, Phou	Souang, Phou		2001-08-21
5	-2663926	-3677238	20.791944	104.155278	204731	1040919	48QVH1208699352	NF48-14	H	STM		LA	03				V				HUOIDIE	Huoi Die	Huoi Die	DIE HUOI	Die, Huoi	Die, Huoi		2001-07-18
5	-2663926	-3677236	20.791944	104.155278	204731	1040919	48QVH1208699352	NF48-14	H	STM		LA	03				V				HOUAYDIC	Houay Dic	Houay Dic	DIC HOUAY	Dic, Houay	Dic, Houay		2001-07-18
5	-2663926	9072718	20.791944	104.155278	204731	1040919	48QVH1208699352	NF48-14	H	STM		LA	03				N			Houay	HOUAYDIK	Houay Dik	Houay Dik	DIK HOUAY	Dik, Houay	Dik, Houay		2001-07-18
5	-2663915	-3677217	20.695833	103.904444	204145	1035416	48QUH8590688871	NF48-14	T	PK		LA	03				V				PHADENG	Pha Deng	Pha Deng	DENG PHA	Deng, Pha	Deng, Pha		2001-06-19
5	-2663915	9069291	20.695833	103.904444	204145	1035416	48QUH8590688871	NF48-14	T	PK		LA	03				N			Phou	PHOUDENG	Phou Déng	Phou Deng	DENG PHOU	Déng, Phou	Deng, Phou		2001-06-19
5	-2664466	-3678118	19.416667	103.4	192500	1032400	48QUG3200747712	NE48-01	P	PPL		LA	14				V				HOUEIMENN	Houei Menn	Houei Menn	HOUEIMENN	Houei Menn	Houei Menn		1994-01-25
5	-2664466	-3678020	19.416667	103.4	192500	1032400	48QUG3200747712	NE48-01	P	PPL		LA	14				N				HOUAYMEN	Houay Mén	Houay Men	HOUAYMEN	Houay Mén	Houay Men		1994-01-25
5	-2663792	-3677006	19.683333	103.3	194100	1031800	48QUG2179877330	NE48-01	P	PPL		LA	14				N				CHONGLI	Chôngli	Chongli	CHONGLI	Chôngli	Chongli		1994-01-25
5	-2663792	-3677004	19.683333	103.3	194100	1031800	48QUG2179877330	NE48-01	P	PPL		LA	14				V				CHONGDI	Chong Di	Chong Di	CHONGDI	Chong Di	Chong Di		1994-01-25
5	-2664364	-3677898	20.089722	103.973611	200523	1035825	48QUH9269121740	NF48-14	H	STM		LA	03				N			Houay	HOUAYHOT	Houay Hôt	Houay Hot	HOT HOUAY	Hôt, Houay	Hot, Houay		2001-05-31
5	-2663982	-3677363	18.143611	104.538333	180837	1043218	48QVF5116606135	NE48-06	H	STMI		LA	15				V				HOUEIDUC	Houei Dúc	Houei Duc	DUC HOUEI	Dúc, Houei	Duc, Houei		2001-07-12
5	-2663982	-3677346	18.143611	104.538333	180837	1043218	48QVF5116606135	NE48-06	H	STMI		LA	15				N			Houay	HOUAYDOUK	Houay Douk	Houay Douk	DOUK HOUAY	Douk, Houay	Douk, Houay		2001-07-12
5	-2664540	-3678155	20.993611	102.424444	205937	1022528	48QTJ3224723598	NF48-13	H	STM		LA	18				N			Houay	HOUAYHOUNG	Houay Houng	Houay Houng	HOUNG HOUAY	Houng, Houay	Houng, Houay		2001-06-11
5	-2664433	9069567	21.238611	102.805556	211419	1024820	48QTJ7225750136	NF48-09	P	PPL		LA	18				N				BANHOUAYKANG	Ban Houaykang	Ban Houaykang	BANHOUAYKANG	Ban Houaykang	Ban Houaykang		2001-06-26
5	-2664433	-3677986	21.238611	102.805556	211419	1024820	48QTJ7225750136	NF48-09	P	PPL		LA	18				V				HOUAYKANG	Houay Kang	Houay Kang	HOUAYKANG	Houay Kang	Houay Kang		2001-06-26
5	-2664419	-3677972	19.550556	103.901944	193302	1035407	48QUG8481062116	NE48-02	T	MT		LA	14				N			Phou	PHOUHOUAYGNI	Phou Houaygni	Phou Houaygni	HOUAYGNI PHOU	Houaygni, Phou	Houaygni, Phou		2001-05-15
5	-2664419	-3678125	19.550556	103.901944	193302	1035407	48QUG8481062116	NE48-02	T	MT		LA	14				V				PHOUHOUEINHI	Phou Houei Nhi	Phou Houei Nhi	HOUEINHI PHOU	Houei Nhi, Phou	Houei Nhi, Phou		2001-05-15
5	-2661896	-3674003	14.75	105.833333	144500	1055000	48PWB8969630841	ND48-07	P	PPL		LA	02				V				BANPUEY	Ban Puey	Ban Puey	BANPUEY	Ban Puey	Ban Puey		1994-01-25
5	-2661896	-3673999	14.75	105.833333	144500	1055000	48PWB8969630841	ND48-07	P	PPL		LA	02				N				BANPUAY	Ban Puay	Ban Puay	BANPUAY	Ban Puay	Ban Puay		1994-01-25
5	-2661291	-3672804	19.5275	101.962778	193139	1015746	47QRB1094561885	NE47-04	P	PPL		LA	17				V				BANPANIP	Ban Pa Nip	Ban Pa Nip	BANPANIP	Ban Pa Nip	Ban Pa Nip		2001-06-04
5	-2661291	-3673078	19.5275	101.962778	193139	1015746	47QRB1094561885	NE47-04	P	PPL		LA	17				N				BANPHANIP	Ban Phanip	Ban Phanip	BANPHANIP	Ban Phanip	Ban Phanip		2001-06-04
5	-2661280	-3673063	18.2	101.216667	181200	1011300	47QQA3444413730	NE47-08	P	PPL		LA	13				N				BANPHANANG	Ban Pha Nang	Ban Pha Nang	BANPHANANG	Ban Pha Nang	Ban Pha Nang		1994-01-25
5	-2660553	-3671921	20.116667	103.883333	200700	1035300	48QUH8327124783	NF48-14	P	PPL		LA	03				N				BANNGON	Ban Ngon	Ban Ngon	BANNGON	Ban Ngon	Ban Ngon		1994-01-25
5	-2660296	-3671530	20.209722	103.975556	201235	1035832	48QUH9297635020	NF48-14	P	PPL		LA	03				N				BANNASALA	Ban Nasala	Ban Nasala	BANNASALA	Ban Nasala	Ban Nasala		2001-05-31
