RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-1022958	-1513406	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				V				NAKHORVAT	Nakhor-Vat	Nakhor-Vat	NAKHORVAT	Nakhor-Vat	Nakhor-Vat		2009-05-12
5	-1022958	256305	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				V				ANGKOR	Angkor	Angkor	ANGKOR	Angkor	Angkor		2009-05-12
5	-1022958	-1513407	13.416667	103.866667	132500	1035200	48PUV7730183496	ND48-10	S	RUIN		CB	24				V				NAKHORWAT	Nakhor Wat	Nakhor Wat	NAKHORWAT	Nakhor Wat	Nakhor Wat		2009-05-12
5	-1024265	-1511923	11.333333	105.166667	112000	1051000	48PWT1818752842	NC48-03	A	ADMD		CB	07				N		Kiĕn Svay		SROKKIENSVAY	Srŏk Kiĕn Svay	Srok Kien Svay	KIENSVAY SROK	Kiĕn Svay, Srŏk	Kien Svay, Srok		2009-05-14
5	-1032317	-1526228	11.666667	105.083333	114000	1050500	48PWT0908389696	NC48-03	A	ADMD		CB	07				N		Prêk Ta Meăk		SROKPREKTAMEAK	Srŏk Prêk Ta Meăk	Srok Prek Ta Meak	PREKTAMEAK SROK	Prêk Ta Meăk, Srŏk	Prek Ta Meak, Srok		2009-05-14
5	-1032317	-1512848	11.666667	105.083333	114000	1050500	48PWT0908389696	NC48-03	A	ADMD		CB	07				V				SROKKSACHKANDAL	Srok Ksach Kandal	Srok Ksach Kandal	KSACHKANDAL SROK	Ksach Kandal, Srok	Ksach Kandal, Srok		2009-05-14
5	-1032317	-1511595	11.666667	105.083333	114000	1050500	48PWT0908389696	NC48-03	A	ADMD		CB	07				V				SROKDEKHSACHKANDAL	Srok de Khsach Kandal	Srok de Khsach Kandal	KHSACHKANDAL SROKDE	Khsach Kandal, Srok de	Khsach Kandal, Srok de		2009-05-14
5	-1027663	-1518128	13.316667	104.166667	131900	1041000	48PVV0974572306	ND48-10	P	PPL		CB	24				N				PHUMIKOULTHMEI	Phumĭ Koŭl Thmei	Phumi Koul Thmei	PHUMIKOULTHMEI	Phumĭ Koŭl Thmei	Phumi Koul Thmei		2009-05-12
5	-1033410	-1529387	10.566667	103.833333	103400	1035000	48PUS7235868305	NC48-05	H	STM		CB	28				N				PREKTOYTO	Prêk Toyto	Prek Toyto	TOYTO PREK	Toyto, Prêk	Toyto, Prek		2009-05-12
5	-1033376	-1529279	10.65	103.883333	103900	1035300	48PUS7786277500	NC48-05	H	STM		CB	28				N				PREKTOEKTHLA	Prêk Tœ̆k Thla	Prek Toek Thla	TOEKTHLA PREK	Tœ̆k Thla, Prêk	Toek Thla, Prek		2009-05-12
